label,message,spam_type,cleaned_message
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,lottery,please call customer service representative pm guaranteed cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,havent planning buy later check already lido got show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",phishing,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
ham,Watching telugu movie..wat abt u?,ham,watching telugu movie wat abt u
ham,i see. When we finish we have loads of loans to pay,ham,see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",ham,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
ham,I see a cup of coffee animation,ham,see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,ham,please text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,okay name ur price long legal wen pick u ave x am xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,still looking car buy gone driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,ham,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,thanks lot wish birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",ham,aight hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,ham,would ip address test considering computer minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,know grumpy old people mom like better lying always one play joke
ham,Dont worry. I guess he's busy.,ham,dont worry guess busy
ham,What is the plural of the noun research?,ham,plural noun research
ham,Going for dinner.msg you after.,ham,going dinner msg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,ok wif co like try new thing scared u dun like mah co u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,lottery,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),lottery,winner u specially selected receive holiday flight inc speak live operator claim p min
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,goodo yes must speak friday egg potato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,hmm uncle informed paying school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,general_spam,private account statement show unredeemed bonus point claim call identifier code expires
spam,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",lottery,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm
ham,here is my new address -apples&pairs&all that malarky,ham,new address apple pair malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,general_spam,today voda number ending selected receive award match please call quoting claim code standard rate app
ham,I am going to sao mu today. Will be done only at 12,ham,going sao mu today done
ham,Ã predict wat time Ã¼'ll finish buying?,ham,predict wat time finish buying
ham,"Good stuff, will do.",ham,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
ham,Are you there in room.,ham,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,ham,k k much cost
ham,I'm home.,ham,home
ham,"Dear, will call Tmorrow.pls accomodate.",ham,dear call tmorrow pls accomodate
ham,First answer my question.,ham,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone,lottery,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,general_spam,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p
ham,I only haf msn. It's yijue@hotmail.com,ham,haf msn yijue hotmail com
ham,He is there. You call and meet him,ham,call meet
ham,No no. I will check all rooms befor activities,ham,check room befor activity
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,phishing,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
ham,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...,ham,got c lazy type forgot lect saw pouch like v nice
ham,"K, text me when you're on the way",ham,k text way
ham,"Sir, Waiting for your mail.",ham,sir waiting mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham,swt thought nver get tired little thing lovable person coz somtimes little thing occupy biggest part heart gud ni
ham,I know you are. Can you pls open the back?,ham,know pls open back
ham,Yes see ya not on the dot,ham,yes see ya dot
ham,Whats the staff name who is taking class for us?,ham,whats staff name taking class u
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",promotion,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,ummma call check life begin qatar pls pray hard
ham,K..i deleted my contact that why?,ham,k deleted contact
ham,Sindu got job in birla soft ..,ham,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,ham,wine flowing nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,yup thk cine better co need go plaza mah
ham,Ok... Ur typical reply...,ham,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
ham,Aaooooright are you at work?,ham,aaooooright work
ham,I'm leaving my house now...,ham,leaving house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,hello love get interview today happy good boy think missing
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,general_spam,customer service annoncement new year delivery waiting please call arrange delivery
spam,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,lottery,winner u specially selected receive cash holiday flight inc speak live operator claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,keep safe need miss already envy everyone see real life
ham,New car and house for my parents.:)i have only new job in hand:),ham,new car house parent new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,love excited day spend make happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,general_spam,pls stop bootydelious f inviting friend reply yes see www sm ac u bootydelious stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",general_spam,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
ham,I place all ur points on e cultures module already.,ham,place ur point e culture module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,lottery,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,hi frnd best way avoid missunderstding wit beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo,ham,great escape fancy bridge need lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,ham,yes completely form clark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",ham,sir need axis bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",ham,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
ham,What time you coming down later?,ham,time coming later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",ham,bloody hell cant believe forgot surname mr ill give u clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,well gonna finish bath good fine night
ham,Let me know when you've got the money so carlos can make the call,ham,let know got money carlos make call
ham,U still going to the mall?,ham,u still going mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,ham,text doesnt reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,hi spoke maneesha v like know satisfied experience reply toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
ham,Lol no. U can trust me.,ham,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,ham,ok gentleman treat dignity respect
ham,"He will, you guys close?",ham,guy close
ham,Going on nothing great.bye,ham,going nothing great bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham,hello handsome finding job lazy working towards getting back net mummy boytoy miss
ham,"Haha awesome, be there in a minute",ham,haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,lottery,please call customer service representative freephone pm guaranteed cash prize
ham,Have you got Xmas radio times. If not i will get it now,ham,got xmas radio time get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,jus reached home go bathe first si using net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,general_spam,unique enough find th august www areyouunique co uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week
ham,Hi :)finally i completed the course:),ham,hi finally completed course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham,stop however suggest stay someone able give or every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham,hope settled new school year wishin gr day
ham,Gud mrng dear hav a nice day,ham,gud mrng dear hav nice day
ham,Did u got that persons story,ham,u got person story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,ham,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",ham,found enc lt gt
ham,I sent you  &lt;#&gt;  bucks,ham,sent lt gt buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham,hello darlin ive finished college txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
ham,Goodmorning sleeping ga.,ham,goodmorning sleeping ga
ham,U call me alter at 11 ok.,ham,u call alter ok
ham,Ã say until like dat i dun buy ericsson oso cannot oredi lar...,ham,say like dat dun buy ericsson oso cannot oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
ham,"Aight yo, dats straight dogg",ham,aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,please give u connection today lt decimal gt refund bill
ham,Both :) i shoot big loads so get ready!,ham,shoot big load get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,bruv hope great break rewarding semester
ham,Home so we can always chat,ham,home always chat
ham,K:)k:)good:)study well.,ham,k k good study well
ham,Yup... How Ã¼ noe leh...,ham,yup noe leh
ham,Sounds great! Are you home now?,ham,sound great home
ham,Finally the match heading towards draw as your prediction.,ham,finally match heading towards draw prediction
ham,Tired. I haven't slept well the past few nights.,ham,tired slept well past night
ham,Easy ah?sen got selected means its good..,ham,easy ah sen got selected mean good
ham,I have to take exam with march 3,ham,take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,yeah think use gt atm register sure anyway help let know sure ready
ham,Ok no prob. Take ur time.,ham,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,o called ubandu run without installing hard disk use o copy important file system give repair shop
ham,"Sorry, I'll call later",ham,sorry call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",general_spam,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,ham,would really appreciate call need someone talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",promotion,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
ham,Hey company elama po mudyadhu.,ham,hey company elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
ham,Dear good morning now only i am up,ham,dear good morning
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,get gandhipuram walk cross cut road right side lt gt street road turn first right
ham,Dear we are going to our rubber place,ham,dear going rubber place
ham,"Sorry battery died, yeah I'm here",ham,sorry battery died yeah
ham,Yes:)here tv is always available in work place..,ham,yes tv always available work place
